city,loc,embedding-1,embedding-2,embedding-3,embedding-4,embedding-5,embedding-6,embedding-7,embedding-8
B,2,0.000170373,1,0.999999881,1,1,0.996762395,1.99E-15,0.009628094
B,3,0.998036563,1,0.583543062,1,0.853041768,0.000996525,0.00299576,0.999948859
B,4,0.996973872,0.999996662,0.293000787,1,0.553406239,0.002205294,0.062941022,0.999853253
B,5,0.010908474,1,0.999996185,1,0.999999166,0.901733816,1.02E-12,0.426545143
B,6,0.994250655,1,0.875115991,1,0.969397426,0.002005464,0.000121903,0.999879479
B,7,0.963463426,0.999671698,0.181796998,0.999999881,0.255694687,0.013591582,0.209744185,0.99438262
B,8,0.163945362,0.996622682,0.776557803,0.999659419,0.78876394,0.684298992,0.012292625,0.430209041
B,9,0.12695238,0.931912363,0.69588834,0.976845741,0.679689884,0.783785164,0.051597837,0.336513162
B,10,0.521003425,0.075587422,0.071261704,0.708662212,0.075819381,0.317602992,0.929916859,0.803000033
B,11,0.999996066,0.998379469,0.000150656,1,0.000386984,1.60E-06,0.999947071,0.999999881
B,12,0.999940276,0.999443829,0.001757266,1,0.003903105,2.37E-05,0.997288465,0.999995947
B,13,0.999999762,0.999974132,5.43E-05,1,0.00017872,4.62E-08,0.999931812,1
B,14,0.171269715,0.996568084,0.675541282,0.999830484,0.685301602,0.58522892,0.022394499,0.473181129
B,15,1,0.999981642,2.22E-07,1,1.02E-06,3.49E-11,1,1
B,16,1,0.999927878,4.56E-06,1,1.69E-05,3.36E-09,0.999998569,1
B,17,1,0.992869914,1.82E-08,1,7.15E-08,3.05E-11,1,1
B,18,0.207411766,0.931571364,0.65649575,0.986617863,0.715623319,0.63207674,0.033946048,0.570854843
B,19,1,0.996439159,1.28E-10,1,7.00E-10,3.48E-14,1,1
B,20,1,6.38E-05,6.13E-15,1,2.89E-14,4.32E-17,1,1
B,21,1,2.92E-06,2.99E-16,1,1.79E-15,6.95E-18,1,1
B,22,0.999999404,3.53E-05,1.62E-08,0.999996543,3.63E-08,6.18E-08,1,1
B,23,1,0.986121714,9.31E-09,1,3.88E-08,1.61E-11,1,1
B,24,1,0.063635081,2.90E-11,1,1.04E-10,9.70E-14,1,1
B,25,0.999780118,0.999989271,0.030854004,1,0.08694578,0.000104704,0.718780696,0.999990225
B,26,0.034588207,0.998836577,0.951349616,0.99892658,0.96116215,0.94269222,0.0009986,0.12546587
B,27,0.999594986,0.999771059,0.017446637,1,0.038636543,0.000268289,0.937134743,0.999969482
B,28,0.999285638,0.983566999,0.005140943,0.999999881,0.008718272,0.000378205,0.995082617,0.999928474
B,29,0.999999762,0.001602974,8.24E-08,0.999999881,1.64E-07,2.18E-08,1,1
C,0,0.944816709,0.998810053,0.19270508,0.999999285,0.263719708,0.029102976,0.328021407,0.991497934
C,1,0.755654573,0.590326607,0.114470735,0.990998268,0.115839474,0.097592078,0.76077354,0.942138374
C,2,0.610284269,0.038829166,0.037515022,0.670009792,0.040887002,0.187182844,0.968559682,0.880654573
C,3,0.65401572,0.019641032,0.024216844,0.578321159,0.027780578,0.213334873,0.987638354,0.878291965
C,4,0.352077872,0.985413373,0.582704842,0.999125183,0.602387309,0.497583389,0.070503481,0.691355348
C,5,0.45233047,0.13304159,0.103270255,0.778656006,0.10083396,0.312365234,0.856655955,0.775237083
C,6,0.439898014,0.122469671,0.092315398,0.784524798,0.086493522,0.290179908,0.867651641,0.757108927
C,7,0.837245226,0.998710513,0.333153516,0.999997377,0.410758913,0.077314883,0.136899963,0.969922662
C,8,0.571291745,0.044267289,0.043708853,0.674691141,0.047706865,0.262160838,0.966320932,0.836557567
C,9,0.665874779,0.988600433,0.311719477,0.999900818,0.35504216,0.200383112,0.280352086,0.912993491
C,10,0.998558223,0.999979496,0.076421537,1,0.170673683,0.000586436,0.40842554,0.99991262
C,11,0.94575417,0.999317169,0.201476172,0.999999762,0.279753059,0.022860508,0.25504294,0.992423773
C,12,0.99998188,0.999983549,0.002859926,1,0.009454282,5.88E-06,0.985296547,0.999999404
C,13,0.06494315,0.999748766,0.976716399,0.99974364,0.982464612,0.909780562,0.000271299,0.260307997
C,14,0.128495187,0.967158854,0.621722877,0.994496644,0.696983218,0.767293751,0.04362011,0.409538805
C,15,0.844274223,0.999998331,0.868241549,1,0.937598526,0.054838371,0.00062509,0.986932814
C,16,0.900319993,0.000799146,0.000874814,0.511817276,0.001191989,0.034942307,0.999907255,0.975963831
C,17,1,0.99769479,1.63E-08,1,6.83E-08,1.88E-11,1,1
C,18,1,1,6.49E-08,1,6.06E-07,1.79E-13,0.999999881,1
C,19,0.65401572,0.019641032,0.024216844,0.578321159,0.027780578,0.213334873,0.987638354,0.878291965
C,20,1,0.990521073,3.06E-08,1,1.12E-07,9.03E-11,1,1
C,21,0.999999881,0.999827862,8.48E-06,1,2.89E-05,1.54E-08,0.999996543,1
C,22,1,0.999628067,1.95E-09,1,1.12E-08,3.70E-13,1,1
C,23,1,0.999999166,1.60E-10,1,1.69E-09,5.03E-16,1,1
C,24,1,0.999999881,1.35E-10,1,1.61E-09,1.21E-16,1,1
C,25,1,0.999999404,1.39E-08,1,1.13E-07,1.43E-13,1,1
C,26,1,0.999136865,1.27E-09,1,6.91E-09,3.65E-13,1,1
C,27,1,1,1.69E-13,1,7.08E-12,2.66E-23,1,1
C,28,1,1,4.15E-12,1,7.58E-11,2.57E-19,1,1
C,29,0.999992013,0.999998808,0.002303255,1,0.007558628,1.33E-06,0.960990727,0.999999762
C,30,1,0.999973655,1.23E-08,1,7.55E-08,9.55E-13,1,1
C,31,1,0.999855161,2.23E-10,1,1.53E-09,1.37E-14,1,1
C,32,1,1,6.90E-13,1,1.92E-11,2.41E-21,1,1
C,33,1,1,1.61E-12,1,3.72E-11,2.05E-20,1,1
C,34,1,1,1.14E-08,1,1.80E-07,4.84E-16,0.999999881,1
C,35,1,0.99999702,3.44E-11,1,3.50E-10,1.47E-16,1,1
C,36,1,1,1.43E-11,1,2.07E-10,3.34E-18,1,1
C,37,1,0.999999642,2.75E-12,1,3.37E-11,2.07E-18,1,1
C,38,1,1,1.10E-07,1,8.58E-07,4.92E-13,0.999999881,1
C,39,0.999999404,0.999996305,0.000136015,1,0.000514457,6.82E-08,0.999447525,1
C,40,0.999999881,0.999874711,7.23E-06,1,2.52E-05,1.07E-08,0.999996781,1
C,41,1,0.999325275,3.30E-07,1,1.24E-06,5.20E-10,1,1
C,42,1,0.997254074,1.06E-08,1,4.29E-08,1.24E-11,1,1
C,43,1,0.99998343,2.62E-12,1,2.62E-11,1.44E-17,1,1
C,44,0.999996781,0.998141527,3.90E-05,1,9.70E-05,4.61E-07,0.999986172,0.999999881
C,45,1,1,7.27E-11,1,1.85E-09,7.73E-20,1,1
C,46,0.999982238,0.999995708,0.002986456,1,0.008814462,3.79E-06,0.965722561,0.999999166
C,47,1,0.999782145,7.24E-08,1,3.25E-07,3.66E-11,1,1
C,48,1,1,4.90E-08,1,3.81E-07,1.32E-13,1,1
C,49,1,1,4.92E-10,1,9.34E-09,3.84E-18,1,1
C,50,0.999997973,0.999999881,0.00149629,1,0.006018901,2.97E-07,0.960374832,1
C,51,1,1,1.19E-05,1,7.40E-05,1.19E-10,0.999857903,1
C,52,1,0.999985576,9.05E-07,1,4.28E-06,2.09E-10,0.999999642,1
C,53,1,1,5.47E-10,1,1.22E-08,1.70E-18,1,1
C,54,1,1,2.23E-08,1,3.13E-07,1.88E-15,0.999999881,1
C,55,1,1,3.39E-08,1,3.99E-07,5.67E-15,0.999999881,1
C,56,0.999975443,0.881138742,4.51E-05,1,8.25E-05,5.85E-06,0.999995947,0.99999845
C,57,1,1,1.85E-06,1,2.10E-05,4.78E-13,0.999929667,1
C,58,0.999999762,0.99999845,0.000115455,1,0.000421108,3.37E-08,0.999361813,1
C,59,1,1,1.02E-07,1,1.13E-06,2.52E-14,0.999999285,1
C,60,1,1,1.55E-11,1,5.05E-10,5.01E-21,1,1
C,61,1,1,4.12E-11,1,1.26E-09,1.36E-20,1,1
C,62,0.593160331,0.031922102,0.03117146,0.653537571,0.034084082,0.231806189,0.980145454,0.853734374
C,63,1,1,1.90E-08,1,3.21E-07,4.65E-16,0.999999762,1
C,64,1,1,2.67E-05,1,0.000168292,2.69E-10,0.999566615,1
C,65,0.999965787,0.999953866,0.001571599,1,0.003859926,7.02E-06,0.992251575,0.999997973
C,66,1,1,2.25E-06,1,1.75E-05,5.99E-12,0.999978662,1
C,67,1,1,1.57E-07,1,1.65E-06,8.26E-14,0.999999046,1
C,68,1,1,1.84E-05,1,0.000112018,2.46E-10,0.999807656,1
C,69,1,1,2.55E-13,1,2.40E-11,9.71E-26,1,1
C,70,1,1,1.57E-14,1,1.30E-12,8.94E-27,1,1
C,71,1,0.999996185,1.96E-07,1,9.70E-07,1.36E-11,0.999999881,1
C,72,0.999846935,0.864089906,0.000204567,1,0.00031725,2.91E-05,0.999949694,0.999986529
C,73,1,1,9.23E-06,1,7.73E-05,2.05E-11,0.999799907,1
C,74,0.998087704,0.999617577,0.021482922,1,0.038226955,0.000606752,0.874177575,0.99980098
C,75,1,0.999999523,1.33E-08,1,8.83E-08,1.18E-13,1,1
C,76,0.999999881,0.999820292,6.21E-06,1,1.87E-05,9.93E-09,0.999996901,1
C,77,1,1,3.87E-14,1,1.96E-12,3.94E-25,1,1
C,78,0.999997854,0.999356329,5.21E-05,1,0.000130889,3.57E-07,0.999967813,0.999999881
C,79,0.998902559,0.99720484,0.004725052,1,0.007873485,0.000296139,0.99062717,0.999889016
C,80,1,1,3.03E-08,1,3.25E-07,1.07E-14,0.999999881,1
C,81,1,1,2.93E-13,1,9.91E-12,4.25E-23,1,1
C,82,1,1,3.06E-14,1,1.04E-12,4.94E-24,1,1
C,83,1,1,9.32E-11,1,1.45E-09,2.06E-18,1,1
C,84,1,0.999998808,5.70E-05,1,0.000230458,9.05E-09,0.999754608,1
C,85,1,1,1.33E-13,1,5.60E-12,5.07E-24,1,1
C,86,1,0.998742282,2.08E-06,1,5.83E-06,6.28E-09,0.999999642,1
C,87,0.468437999,0.997377872,0.602128744,0.999946117,0.647583544,0.349638849,0.039410338,0.805523813
C,88,1,1,3.46E-09,1,4.98E-08,2.05E-16,1,1
C,89,0.999624968,0.689584851,0.000527218,0.999999404,0.000723747,7.83E-05,0.999811828,0.999959707
C,90,1,1,3.88E-13,1,1.06E-11,2.46E-22,1,1
C,91,0.999991298,0.999132097,0.000158334,1,0.00034671,1.55E-06,0.999865532,0.999999523
C,92,1,1,3.71E-08,1,3.18E-07,5.82E-14,1,1
C,93,1,1,1.22E-09,1,1.43E-08,2.33E-16,1,1
C,94,1,1,3.85E-12,1,8.69E-11,1.27E-20,1,1
C,95,1,0.999999762,1.15E-09,1,9.58E-09,2.53E-15,1,1
C,96,1,1,3.14E-12,1,5.99E-11,3.02E-20,1,1
C,97,1,0.999999642,7.02E-13,1,8.54E-12,2.09E-19,1,1
C,98,1,1,1.48E-10,1,1.78E-09,1.86E-17,1,1
C,99,1,1,1.47E-10,1,2.50E-09,2.96E-18,1,1
C,100,1,1,6.13E-13,1,1.74E-11,4.22E-22,1,1
C,101,1,1,1.15E-11,1,1.91E-10,2.46E-19,1,1
C,102,1,1,9.28E-16,1,4.82E-14,1.21E-26,1,1
C,103,1,1,3.67E-13,1,7.64E-12,1.93E-21,1,1
C,104,0.995606363,0.999713123,0.037330523,1,0.063613139,0.001235142,0.744023025,0.999550998
C,105,1,1,2.30E-10,1,4.18E-09,2.58E-18,1,1
C,106,1,1,1.17E-12,1,3.54E-11,5.24E-22,1,1
C,107,1,1,5.71E-14,1,1.91E-12,1.27E-23,1,1
C,108,1,1,9.20E-16,1,4.56E-14,1.60E-26,1,1
C,109,1,0.999999523,3.06E-12,1,3.44E-11,1.68E-18,1,1
C,110,1,0.999999762,3.27E-10,1,2.87E-09,5.81E-16,1,1
C,111,1,1,1.91E-17,1,1.48E-15,1.91E-29,1,1
C,112,1,1,1.42E-14,1,4.30E-13,7.36E-24,1,1
C,113,1,0.999999523,9.14E-14,1,1.27E-12,1.53E-20,1,1
C,114,1,0.999975204,4.72E-10,1,2.99E-09,1.23E-14,1,1
C,115,1,1,1.37E-11,1,1.63E-10,3.53E-18,1,1
C,116,1,0.999998808,1.55E-11,1,1.51E-10,2.03E-17,1,1
C,117,1,0.999999881,3.99E-06,1,2.26E-05,7.66E-11,0.99998641,1
C,118,0.997820377,1,0.487613946,1,0.782584667,0.000344499,0.001757898,0.999942064
C,119,0.943921208,0.999999762,0.8456797,1,0.936954737,0.015703401,0.000464221,0.997159243
C,120,0.477836162,0.999999166,0.973845422,1,0.987391174,0.277013302,5.27E-05,0.925728142
C,121,1,0.999996901,2.46E-05,1,9.71E-05,5.22E-09,0.999943614,1
C,122,0.965005994,1,0.915843189,1,0.972961903,0.009561567,9.37E-05,0.9988482
C,123,0.479303777,0.999801934,0.867037237,0.999994516,0.910629332,0.235506773,0.001728571,0.905615449
C,124,0.996850073,0.161509007,0.0014995,0.999857664,0.001932436,0.000575682,0.999442399,0.999716341
C,125,0.875817478,0.999994636,0.838643014,1,0.918204725,0.043242037,0.001130317,0.991322875
C,126,0.982331038,0.357930452,0.003367142,0.999840736,0.004281131,0.003977467,0.998231351,0.997594059
C,127,0.999997497,2.28E-07,5.62E-09,0.997078776,1.56E-08,2.51E-07,1,0.999999881
C,128,1,0.999982476,5.48E-08,1,2.38E-07,7.23E-12,1,1
C,129,1,0.999987364,5.14E-08,1,2.25E-07,5.35E-12,1,1
C,130,0.033195786,0.999997735,0.996657133,0.999997854,0.997987986,0.921588182,3.78E-06,0.221699476
C,131,1,0.999231577,5.66E-07,1,1.66E-06,1.25E-09,0.999999881,1
C,132,1,0.999920964,1.63E-08,1,6.68E-08,3.45E-12,1,1
C,133,1,0.985187531,2.49E-07,1,6.01E-07,2.07E-09,1,1
C,134,0.998177886,0.007924967,6.61E-05,0.999656439,9.15E-05,0.000334377,0.999996424,0.999758542
D,0,0.994402826,0.999749124,0.055163626,1,0.094741769,0.001780899,0.642666459,0.999458373
D,1,0.823755622,0.992797077,0.20020166,0.999983549,0.233246356,0.081236117,0.412773728,0.963255167
D,2,0.999999523,0.999998927,0.000359136,1,0.001419882,9.37E-08,0.997512817,1
D,3,0.999999881,0.999997854,0.000130457,1,0.000536929,3.06E-08,0.999521255,1
D,4,1,0.999990344,9.47E-06,1,3.87E-05,1.93E-09,0.999990106,1
D,5,0.999999881,0.999974966,4.72E-05,1,0.000159723,2.94E-08,0.999933839,1
D,6,1,0.999999881,3.71E-06,1,2.24E-05,6.35E-11,0.999989152,1
D,7,0.999994755,0.999889135,0.000346981,1,0.00084984,1.00E-06,0.999318957,0.999999762
D,8,1,1,1.20E-08,1,1.04E-07,1.58E-14,1,1
D,9,1,0.999998331,7.65E-08,1,4.18E-07,1.66E-12,1,1
D,10,1,0.992585719,4.35E-07,1,1.14E-06,1.67E-09,1,1
D,11,1,1,2.74E-08,1,2.51E-07,2.55E-14,1,1
D,12,1,0.999995708,7.01E-08,1,3.69E-07,2.44E-12,1,1
D,13,1,0.999999762,9.60E-10,1,7.79E-09,1.70E-15,1,1
D,14,1,0.999998689,1.79E-09,1,1.24E-08,1.21E-14,1,1
D,15,0.999970436,0.999985933,0.003935073,1,0.010734119,8.31E-06,0.970823705,0.999998569
D,16,1,0.999949694,1.32E-06,1,4.76E-06,4.46E-10,0.999999523,1
D,17,1,0.999999285,2.56E-06,1,1.29E-05,1.05E-10,0.999995947,1
D,18,1,0.999999285,2.14E-06,1,1.09E-05,9.50E-11,0.999997139,1
D,19,1,0.99996984,7.18E-08,1,3.03E-07,1.26E-11,1,1
D,20,1,0.999993205,1.09E-06,1,4.69E-06,1.51E-10,0.999999404,1
D,21,0.921176195,0.977519631,0.083901785,0.999978185,0.099438868,0.035658363,0.790410101,0.984847486
D,22,0.999995828,0.999883771,0.000228731,1,0.000584786,8.40E-07,0.999657631,0.999999762
D,23,0.999999285,0.999708235,3.53E-05,1,9.45E-05,1.25E-07,0.999979138,1
D,24,1,0.999999046,1.33E-05,1,5.84E-05,1.36E-09,0.999961019,1
D,25,0.99965024,0.999317408,0.003291247,1,0.00594079,7.66E-05,0.99083966,0.999971151
D,26,0.992560565,0.999190986,0.046734449,1,0.073992357,0.002896252,0.797033906,0.999163389
D,27,0.999989867,0.999981642,0.000811603,1,0.002220712,1.67E-06,0.996073365,0.999999523
D,28,0.995586991,0.999519229,0.03230112,1,0.054258391,0.001376251,0.819262564,0.999539971
D,29,0.999999642,0.999999404,0.000444957,1,0.001770346,7.13E-08,0.996199429,1
D,30,0.999614716,0.999528527,0.007372781,1,0.015449635,0.000163182,0.97940284,0.999969602
D,31,0.999971747,0.999807417,0.000533401,1,0.001198519,4.49E-06,0.998818576,0.99999845
D,32,0.999802053,0.998507679,0.003139616,1,0.00646973,8.86E-05,0.995364547,0.999983549
D,33,0.999960899,0.999064624,0.000325735,1,0.000660874,6.43E-06,0.999652982,0.999997735
D,34,0.999959826,0.99999404,0.007738866,1,0.022960387,1.36E-05,0.918475866,0.999998093
D,35,0.999999404,0.999984622,5.79E-05,1,0.000176717,6.28E-08,0.99986589,1
D,36,0.99999845,0.99999392,0.00026784,1,0.000854655,2.29E-07,0.998688042,1
D,37,0.999999642,0.999998808,0.000155313,1,0.000598666,4.77E-08,0.998990119,1
D,38,1,1,6.88E-07,1,7.13E-06,7.09E-13,0.999996305,1
D,39,1,1,1.48E-05,1,0.000116608,9.84E-11,0.999860644,1
D,40,0.999981046,0.99825877,0.000444695,1,0.00103694,6.89E-06,0.999679685,0.999998808
D,41,0.997807086,0.999569952,0.016448192,1,0.029813495,0.000645668,0.920937896,0.999798357
D,42,0.999860644,0.999979854,0.006884912,1,0.016863063,3.27E-05,0.933214784,0.999991655
D,43,1,1,5.52E-06,1,3.28E-05,9.80E-11,0.99996376,1
D,44,1,0.999999762,2.14E-06,1,1.12E-05,7.12E-11,0.999994278,1
D,45,1,0.999999762,2.38E-08,1,1.68E-07,2.22E-13,1,1
D,46,0.999995232,0.999993682,0.000471636,1,0.001426055,6.11E-07,0.997175932,0.999999881
D,47,0.999999523,0.999998927,0.00042527,1,0.001697334,1.17E-07,0.997001827,1
D,48,1,1,6.72E-07,1,7.70E-06,4.32E-13,0.99999547,1
D,49,0.999999166,0.999999642,0.00084827,1,0.003644804,1.73E-07,0.988567829,1
D,50,1,0.999999642,2.63E-06,1,1.35E-05,1.27E-10,0.999993801,1
D,51,1,0.999999881,1.25E-05,1,6.87E-05,3.91E-10,0.999923944,1
D,52,0.063763529,0.998156726,0.960870743,0.997495174,0.966342449,0.899939537,0.000819106,0.252367228
D,53,1,0.999999881,1.86E-06,1,1.04E-05,4.62E-11,0.999994278,1
D,54,0.999999762,0.999965906,1.62E-05,1,5.46E-05,2.07E-08,0.99998498,1
D,55,1,0.999999881,3.02E-05,1,0.000151494,1.73E-09,0.999786913,1
D,56,1,1,1.12E-08,1,1.02E-07,1.94E-14,1,1
D,57,1,0.999999881,8.97E-07,1,5.51E-06,1.33E-11,0.999997616,1
D,58,0.999998689,0.999994636,0.000208662,1,0.000707275,1.92E-07,0.999153852,1
D,59,1,0.999999881,4.43E-06,1,2.57E-05,9.47E-11,0.999981523,1
D,60,0.999992371,0.999989986,0.000823053,1,0.00235736,1.27E-06,0.994785368,0.999999642
D,61,0.999975204,0.99991715,0.000922547,1,0.002189033,4.83E-06,0.997010708,0.999998569
D,62,0.999966621,0.99988234,0.0010116,1,0.002301225,6.48E-06,0.996815383,0.999997973
D,63,0.999896288,0.937610924,0.000422533,1,0.000678945,4.14E-05,0.999883533,0.999987841
D,64,0.958265364,0.014727728,0.002520519,0.970511913,0.002907079,0.016993219,0.999496222,0.989428699
D,65,1,0.999997139,1.82E-05,1,7.17E-05,4.85E-09,0.999958992,1
D,66,0.994805753,0.999688983,0.037230864,1,0.064455971,0.001572525,0.769159436,0.999485373
D,67,0.999995351,0.99999547,0.000774131,1,0.002490732,8.17E-07,0.994617045,0.999999881
D,68,0.994610429,0.997729599,0.01354811,1,0.021517411,0.001492493,0.963116407,0.999450982
D,69,0.517886281,0.999749601,0.805622339,0.99999404,0.859731734,0.346109211,0.006237088,0.875042856
D,70,0.994838774,0.999762714,0.043849945,1,0.078279696,0.001646116,0.723174572,0.999526143
D,71,0.934795499,0.999473035,0.230202943,0.999999762,0.318469971,0.026960602,0.200822726,0.990960777
D,72,0.776382208,0.997556329,0.376190275,0.999987483,0.449476272,0.137658671,0.149224132,0.953044355
D,73,0.191178143,0.838147044,0.457361698,0.972725093,0.467922568,0.686495662,0.195348516,0.476610333
D,74,0.731323779,0.176069543,0.030637514,0.972909212,0.032203015,0.087215401,0.9649809,0.935253739
E,0,0.815669417,0.723713398,0.06996756,0.998385787,0.080996923,0.069146372,0.864310861,0.965769053
E,1,0.913511574,0.275390506,0.011062155,0.997642577,0.013460554,0.032516498,0.993394434,0.983833969
E,2,0.162634239,0.930518031,0.73169589,0.973891318,0.741267622,0.749530971,0.035989359,0.436720431
E,3,0.680048645,0.011512592,0.0145888,0.536649883,0.016377002,0.17345345,0.99420929,0.887966692
E,4,0.65401572,0.019641032,0.024216847,0.578321159,0.027780578,0.213334873,0.987638354,0.878291965
